Epoch,Training_Loss,Validation_Loss,Learning_Rate
1,0.6932704448699951,0.692857027053833,0.001
2,0.6928952932357788,0.6924461722373962,0.001
3,0.6925266981124878,0.6919824481010437,0.001
4,0.6921216249465942,0.6914375424385071,0.001
5,0.6916241645812988,0.6907499432563782,0.001
6,0.6910624504089355,0.6899663805961609,0.001
7,0.6904040575027466,0.6891312599182129,0.001
8,0.6897648572921753,0.6882230043411255,0.001
9,0.6889370679855347,0.6872556805610657,0.001
10,0.6881153583526611,0.6861311197280884,0.001
11,0.6870390176773071,0.68474942445755,0.001
12,0.6857328414916992,0.6830947399139404,0.001
13,0.684244692325592,0.6810736060142517,0.001
14,0.6824345588684082,0.6786413192749023,0.001
15,0.6803356409072876,0.6757012009620667,0.001
16,0.6778326034545898,0.6722801327705383,0.001
17,0.6749612092971802,0.6684240698814392,0.001
18,0.6713423132896423,0.6642231941223145,0.001
19,0.6677854657173157,0.6596527695655823,0.001
20,0.6635320782661438,0.6547195315361023,0.001
21,0.6590840816497803,0.6494406461715698,0.001
22,0.6545019149780273,0.6438966989517212,0.001
23,0.6491896510124207,0.638342022895813,0.001
24,0.6444063186645508,0.6329206228256226,0.001
25,0.6395179629325867,0.6277633309364319,0.001
26,0.6355438828468323,0.6229459643363953,0.001
27,0.6309561133384705,0.6181477904319763,0.001
28,0.6261957883834839,0.6132487058639526,0.001
29,0.6207366585731506,0.6083216667175293,0.001
30,0.6162232160568237,0.603542149066925,0.001
31,0.6132490038871765,0.598911464214325,0.001
32,0.6075378060340881,0.5950244069099426,0.001
33,0.6040937900543213,0.5917416214942932,0.001
34,0.6019082069396973,0.5889949798583984,0.001
35,0.5998702645301819,0.5872212052345276,0.001
36,0.598659336566925,0.5862829089164734,0.001
37,0.5975646376609802,0.5861749053001404,0.001
38,0.5967063903808594,0.5852833390235901,0.001
39,0.5963478088378906,0.5844290852546692,0.001
40,0.5938534736633301,0.5832886099815369,0.001
41,0.5932169556617737,0.582121729850769,0.001
42,0.5906233787536621,0.5805972814559937,0.001
43,0.5884490013122559,0.5786114931106567,0.001
44,0.5846178531646729,0.576789915561676,0.001
45,0.5842553973197937,0.5753815770149231,0.001
46,0.5816548466682434,0.5743643045425415,0.001
47,0.579745888710022,0.5733804106712341,0.001
48,0.5773568749427795,0.5724924802780151,0.001
49,0.5760894417762756,0.5717201828956604,0.001
50,0.5749312043190002,0.570858895778656,0.001
51,0.5737501382827759,0.5698159337043762,0.001
52,0.572013258934021,0.568551242351532,0.001
53,0.569790780544281,0.5672263503074646,0.001
54,0.5695226192474365,0.5659478306770325,0.001
55,0.5668755173683167,0.5655550360679626,0.001
56,0.5643971562385559,0.5641415119171143,0.001
57,0.5614376068115234,0.5642579197883606,0.001
58,0.5624688863754272,0.5643506050109863,0.001
59,0.5605791211128235,0.5652034282684326,0.001
60,0.5607836842536926,0.565116286277771,0.001
61,0.5595134496688843,0.5663142204284668,0.001
62,0.5590008497238159,0.5666221976280212,0.0005
63,0.5555679202079773,0.5673764944076538,0.0005
64,0.5568806529045105,0.5673794746398926,0.0005
65,0.5572630167007446,0.5673331022262573,0.0005
66,0.5561336278915405,0.5678061842918396,0.0005
67,0.556552529335022,0.5677916407585144,0.0005
68,0.5546898245811462,0.5683934688568115,0.00025
69,0.5542221665382385,0.568716824054718,0.00025
70,0.5547106862068176,0.5687047243118286,0.00025
71,0.5542954802513123,0.5684285759925842,0.00025
72,0.5537333488464355,0.5684253573417664,0.00025
73,0.5535805821418762,0.5687300562858582,0.00025
74,0.5547438859939575,0.5687375068664551,0.000125
75,0.5536408424377441,0.5687099695205688,0.000125
76,0.5523661375045776,0.5687063336372375,0.000125
